imagerelfilepath;rows;columns;spritewidth;spriteheight
Settler/Settlerfemale/Settlerfemale_idle.png;1;8;24;40
Settler/Settlerfemale/Settlerfemale_move.png;8;35;24;40
Settler/Settlermale/Settlermale_move.png;8;35;24;40
Settler/Settlermale/Settlermale_idle.png;1;8;24;40
Pioneer/Pioneermale/Pioneermale_move.png;8;35;24;40
Pioneer/Pioneermale/Pioneermale_idle.png;1;8;24;40
Pioneer/Pioneerfemale/Pioneerfemale_move.png;8;35;24;40
Pioneer/Pioneerfemale/Pioneerfemale_idle.png;1;8;24;40
Sailor/Male3/Male3_idle.png;1;8;24;40
Sailor/Male3/Male3_move.png;8;35;24;40
Sailor/Female1/Female1_idle.png;1;8;24;40
Sailor/Female1/Female1_move.png;8;35;24;40
Sailor/Male2/Male2_idle.png;1;8;24;40
Sailor/Male2/Male2_move.png;8;4;24;40
Sailor/Female2/Female2_idle.png;1;8;24;40
Sailor/Female2/Female2_move.png;8;4;24;40
Sailor/Male1/Male1_move.png;8;4;24;40
Sailor/Male1/Male1_idle.png;1;8;24;40
Citizen/Citizenfemale/Citizenfemale_move.png;8;35;24;40
Citizen/Citizenfemale/Citizenfemale_idle.png;1;8;24;40
Citizen/Citizenmale/Citizenmale_idle.png;1;8;24;40
Citizen/Citizenmale/Citizenmale_move.png;8;35;24;40
