imagerelfilepath;rows;columns;spritewidth;spriteheight
Freetraders/Trader/Trader_move.png;1;8;264;264
Freetraders/Trader/Trader_idle.png;1;8;264;264
Frigate/Frigate/Frigate_move.png;1;8;256;256
Frigate/Frigate/Frigate_fire_right.png;8;43;256;256
Frigate/Frigate/Frigate_idle.png;1;8;256;256
Frigate/Frigate/Frigate_fire_left.png;8;43;256;256
Fishers/Fisher/Fisher_idle.png;1;8;64;64
Fishers/Fisher/Fisher_move.png;1;8;64;64
Merchants/Huker/Huker_color_move.png;1;8;192;192
Merchants/Huker/Huker_idle.png;1;8;192;192
Merchants/Huker/Huker_attack_right.png;8;2;192;192
Merchants/Huker/Huker_attack_left.png;8;2;192;192
Merchants/Huker/Huker_color_idle.png;1;8;192;192
Merchants/Huker/Huker_move.png;1;8;192;192
Pirates/Pirate2/Pirate2_move.png;8;16;224;224
Pirates/Pirate2/Pirate2_idle.png;1;8;224;224
Pirates/Pirate1/Pirate1_move.png;8;16;224;224
Pirates/Pirate1/Pirate1_idle.png;1;8;224;224
