imagerelfilepath;rows;columns;spritewidth;spriteheight
Animals/Fallowdeer/Fallowdeer_idle.png;8;10;32;32
Animals/Fallowdeer/Fallowdeer_move.png;8;10;32;32
Animals/Reddeer/Reddeer_move.png;8;10;48;48
Animals/Reddeer/Reddeer_idle.png;8;10;48;48
Herder/Herder/Herder_idle.png;1;8;32;42
Herder/Herder/Herder_move.png;8;4;32;42
Army/Groundunit/Groundunit_idle.png;1;8;32;42
Army/Groundunit/Groundunit_attack_melee.png;8;4;32;42
Army/Groundunit/Groundunit_move.png;8;4;32;42
Army/Groundunit/Groundunit_attack_ranged.png;8;4;32;42
Priest/Priest/Priest_move.png;8;4;32;42
Priest/Priest/Priest_idle.png;1;8;32;42
Hunter/Hunterunit/Hunterunit_idle_full.png;1;8;32;42
Hunter/Hunterunit/Hunterunit_move_full.png;8;4;32;42
Hunter/Hunterunit/Hunterunit_work.png;8;19;32;42
Hunter/Hunterunit/Hunterunit_idle.png;1;8;32;42
Hunter/Hunterunit/Hunterunit_move.png;8;4;32;42
Farmer/Farmer/Farmer_idle.png;1;8;32;42
Farmer/Farmer/Farmer_move.png;8;4;32;42
Fisherman/Fishermanunit/Fishermanunit_idle_full.png;8;4;101;96
Fisherman/Fishermanunit/Fishermanunit_move_full.png;8;4;101;96
Fisherman/Fishermanunit/Fishermanunit_move.png;8;4;101;96
Fisherman/Fishermanunit/Fishermanunit_work.png;8;14;101;96
Fisherman/Fishermanunit/Fishermanunit_idle.png;8;4;101;96
Lumberjack/Lumberjackunit/Lumberjackunit_work.png;1;8;32;42
Lumberjack/Lumberjackunit/Lumberjackunit_move.png;8;4;32;42
Lumberjack/Lumberjackunit/Lumberjackunit_move_full.png;8;4;32;42
Lumberjack/Lumberjackunit/Lumberjackunit_idle_full.png;1;8;32;42
Lumberjack/Lumberjackunit/Lumberjackunit_idle.png;1;8;32;42
Carrier/Carrier/Carrier_move.png;8;4;32;42
Carrier/Carrier/Carrier_idle_full.png;1;8;32;42
Carrier/Carrier/Carrier_move_full.png;8;4;32;42
Carrier/Carrier/Carrier_idle.png;1;8;32;42
